"ID","fixedChildProducts","fixedChildCategories","displayName_en","displayName_fr_CA","description_en","description_fr_CA","paDocumentsFileNames","altText","titleText","active","seoDescription_en","seoDescription_fr_CA","seo_keywords_en","seo_keywords_fr_CA","seoTitle_en","seoTitle_fr_CA","seoUrlSlug"
"340-010-075-005","PA0009240656,PA0009145160,PA0009145152,PA0009145145,PA0009145137,PA0008774648,PA0008774630,PA0008774564,PA0008380149,PA0008177768,PA0008168692,PA0008113060,PA0003810052","","Combo Squeegees","Raclettes combinées",,,"340-010-075-005_banner.jpg,340-010-075-005.jpg","Combo Squeegees","Combo Squeegees","True",,,,,"Combo Squeegees","Raclettes combinées","340-010-075-005 Combo Squeegees"
"340-010-075-010","PA0009259524,PA0009259516,PA0009259508,PA0009259490,PA0009259482,PA0009259474,PA0009259466,PA0008774622,PA0008774614,PA0008774606,PA0008774580,PA0008774531,PA0008774499,PA0008774440,PA0008600207,PA0008600181,PA0008600165,PA0008600140,PA0008353526,PA0008133084,PA0008133076,PA0008123861,PA0008123853,PA0008093734","","Floor Squeegees","Raclettes pour plancher",,,"340-010-075-010_banner.jpg,340-010-075-010.jpg","Floor Squeegees","Floor Squeegees","True",,,,,"Floor Squeegees","Raclettes pour plancher","340-010-075-010 Floor Squeegees"
"340-010-075-015","PA0009259532,PA0009238338,PA0009238320,PA0009138538,PA0009138520,PA0009138512,PA0009138504,PA0009138496,PA0008759771,PA0008599813,PA0008599797","","Squeegee Blades and Holders","Lames de raclette et supports",,,"340-010-075-015_banner.jpg,340-010-075-015.jpg","Squeegee Blades and Holders","Squeegee Blades and Holders","True",,,,,"Squeegee Blades and Holders","Lames de raclette et supports","340-010-075-015 Squeegee Blades and Holders"
"340-010-075-020","PA0008599821","","Squeegee Handles","Manches de raclette",,,"340-010-075-020_banner.jpg,340-010-075-020.jpg","Squeegee Handles","Squeegee Handles","False",,,,,"Squeegee Handles","Manches de raclette","340-010-075-020 Squeegee Handles"
"340-010-080-005",,"","Canisters and Jars","Bidons et bocaux",,,"340-010-080-005_banner.jpg,340-010-080-005.jpg","Canisters and Jars","Canisters and Jars","False",,,,,"Canisters and Jars","Bidons et bocaux","340-010-080-005 Canisters and Jars"
"340-010-080-015",,"","Ice Buckets","Seaux à glace",,,"340-010-080-015_banner.jpg,340-010-080-015.jpg","Ice Buckets","Ice Buckets","False",,,,,"Ice Buckets","Seaux à glace","340-010-080-015 Ice Buckets"
"340-010-080-020",,"","Mailboxes","Boîtes postales",,,"340-010-080-020_banner.jpg,340-010-080-020.jpg","Mailboxes","Mailboxes","False",,,,,"Mailboxes","Boîtes postales","340-010-080-020 Mailboxes"
"340-010-080-030","PA0009281981,PA0008479990","","Storage Boxes","Boîtes de rangement",,,"340-010-080-030_banner.jpg","Storage Boxes","Storage Boxes","True",,,,,"Storage Boxes","Boîtes de rangement","340-010-080-030 Storage Boxes"
"340-010-080-035",,"","Tool Boxes","Coffres à outils",,,"340-010-080-035_banner.jpg,340-010-080-035.jpg","Tool Boxes","Tool Boxes","False",,,,,"Tool Boxes","Coffres à outils","340-010-080-035 Tool Boxes"
"340-010-080-010",,"","Cutlery Holders and Racks","Porte-coutellerie et supports",,,"340-010-080-010_banner.jpg,340-010-080-010.jpg","Cutlery Holders and Racks","Cutlery Holders and Racks","False",,,,,"Cutlery Holders and Racks","Porte-coutellerie et supports","340-010-080-010 Cutlery Holders and Racks"
"340-010-080-025","PA0008697336","","Pails, Buckets and Tubs","Seaux, chaudières et cuves",,,"340-010-080-025_banner.jpg,340-010-080-025.jpg","Pails, Buckets and Tubs","Pails, Buckets and Tubs","False",,,,,"Pails, Buckets and Tubs","Seaux, chaudières et cuves","340-010-080-025 Pails, Buckets and Tubs"
"340-010-080-040","PA0009351305,PA0009018672,PA0009018664,PA0008531881,PA0008524886,PA0008524878,PA0008415184,PA0008412298,PA0008243263","","Tool Racks and Organizers","Supports et classeurs à compartiments pour outils",,,"340-010-080-040_banner.jpg,340-010-080-040.jpg","Tool Racks and Organizers","Tool Racks and Organizers","True",,,,,"Tool Racks and Organizers","Supports et classeurs à compartiments pour outils","340-010-080-040 Tool Racks and Organizers"
"340-010-085-015","PA0009194184,PA0009194176,PA0009194168,PA0009194150,PA0009194143,PA0009104159,PA0009104142,PA0008551079,PA0008470239,PA0008465262,PA0008465155,PA0008463994,PA0008438566,PA0008235624","","Recycle and Waste Bags","Sacs pour recyclage et sacs à déchets",,,"340-010-085-015_banner.jpg","Recycle and Waste Bags","Recycle and Waste Bags","True",,,,,"Recycle and Waste Bags","Sacs pour recyclage et sacs à déchets","340-010-085-015 Recycle and Waste Bags"
"340-010-090-005","PA0008266348","","Drum Faucets and Taps","Robinets à tambour",,,"340-010-090-005_banner.jpg,340-010-090-005.jpg","Drum Faucets and Taps","Drum Faucets and Taps","False",,,,,"Drum Faucets and Taps","Robinets à tambour","340-010-090-005 Drum Faucets and Taps"
